NO,KODE,NAMA BAHAN,SUMBER,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,
,,,,(g),(Kal),(g),(g),(g),(g),(g),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mcg),(mg),(mg),(mg),(mg),
430,DR048,"Daun lamtoro, segar",KZGPI-1990,74,87,8.3,1.8,14.4,3.3,1.5,725,174,3.9,10,197.7,0.5,1.4,0,6900,13040,0,0.1,2.3,32,40
432,DR050,"Daun leunca, segar",DABM-1964,85,49,4.7,0.5,8.1,,1.7,210,80,6.1,,,,,,,1900,0.14,,,40,70
433,DR051,"Daun lobak, segar",DKBM-1964,90,30,2.3,0.4,5.8,3.2,1.4,140,33,3.7,16,747.4,0.2,0.2,,5039,1000,0.07,1.1,6.5,109,70
437,DR055,"Daun melinjo, segar",DABM-1964,70.8,104,5,1.3,21.3,10.3,1.6,219,82,4.2,12,604.8,0.4,0.6,,823,10000,0.09,,,182,88
438,DR056,"Daun mengkudu, segar",KZGPI-1990,80.9,65,4,1.7,11.4,3.9,2,296,40,6.9,,,,,0,2,4958,0.01,0.1,5.7,35,90
440,DR058,"Daun oyong, segar",DABM-1964,93,22,1,0.1,5.3,2,0.6,21,44,2,40,295.5,0.1,0.2,,855,1000,0.08,0.1,0.8,15,65
441,DR059,"Daun pakis, segar",KZGPI-1990,86.8,39,4.5,0.4,6.9,2,1.4,136,159,2.3,20,201.9,0.2,0.3,0,1625,3292,0.02,0.1,0.5,3,70
442,DR060,"Daun pakis longgiho, segar",KZGMI-2001,89.5,54,2.2,3.6,3.1,2.1,1.6,40,80,0.7,70,500,0.4,0.1,,168,,0.4,0.3,0.2,8,70
443,DR061,"Daun pakis wambateu, segar",KZGMI-2001,86.9,53,3.4,1.2,7.2,4.8,1.3,30,100,0.3,20,200,0.2,0.3,,191,,0.7,0.2,0.3,6,70
444,DR062,"Daun paku, segar",KZGMI-2001,88.8,29,3.4,0.1,6.5,4.3,1.2,13,88,1.3,19,434,0.5,0.7,,18,,0.2,0.1,11.7,10,70
445,DR063,"Daun pangi,segar",KZGMI-2001,76.1,104,3.9,0.6,17.9,8.3,1.5,256,22,1.8,4,266,1.7,0.5,,55,,0.4,0.1,0.1,23,90
446,DR064,"Daun pare, segar",KZGMI-2001,87.3,49,2.7,1,8.4,3,1.6,217,70,3.3,7,498,0.4,1.2,,1800,,0.4,0.2,0.6,7,
447,DR065,"Daun pepaya, segar",DABM-1964,75.4,87,8,2,11.9,1.5,2.7,353,63,0.8,4,926.6,0.2,1.5,,5409,18250,0.15,0.5,1.9,140,71
450,DR068,"Daun semanggi, segar",KZGPI-1990,84.7,45,4.4,0.5,8.5,1.9,1.9,98,90,7,64,520.7,0.5,0.3,0,64,3365,0.01,0.5,0.7,6,90
452,DR070,"Daun singkil, segar",KZGPI-1990,80.9,68,2,1,15.2,3.3,0.9,178,86,2.1,,,,,,,6042,0.02,,,3,70
453,DR071,"Daun singkong, segar",KZGPI-1990,84.4,50,6.2,1.1,7.1,2.4,1.2,166,99,1.3,17,23.1,0.1,2,0,3204,7052,0.04,0.1,1.8,10,87
454,DR072,"Daun singkong ambon, segar",DABM-1964,58,144,12.7,1.2,25.2,10.2,2.9,165,54,3.9,44,62.2,0.2,5.4,,8627,13000,0.21,1,4.2,22,87
455,DR073,"Daun singkong ampenan, segar",KZGMI-2001,84.4,50,6.2,1.1,71,2.4,1.2,352,123,2.7,49,570,0.2,1.3,,7917,,0.5,0.1,1.6,10,87
456,DR074,"Daun singkong kopang, segar",KZGMI-2001,81.1,74,6.3,0.7,10.7,4.6,1.2,142,115,1.7,32,382,0.2,1.5,,3882,,0.5,0.5,1.9,211,87
457,DR075,"Daun sintrong, segar",KZGPI-1990,88.5,36,2.6,0.9,6.1,1.7,1.9,398,95,9.3,64,444.4,0.1,0.4,0,10178,8868,0.03,0.2,0.9,3,94
458,DR076,"Daun talas, segar",KZGPI-1990,81.1,59,3,0.4,13.5,3,2,236,50,2.4,4,854.1,0.4,0.5,0,3816,5740,0.07,0.6,2,24,80
459,DR077,"Daun tespong, segar",DABM-1964,81,70,2.9,0.3,13.9,2.3,1.9,155,65,2.5,72,,0.15,0.9,,171,2500,0.05,0.7,1.4,21,60
460,DR078,"Daun ubi kuning, segar",KZGMI-2001,83.5,62,3.7,0.3,11.1,6.4,14,170,40,0.6,10,0,0.2,0.5,,3564,,0.3,0.3,1.2,4,75
461,DR079,"Daun ubi merah, segar",KZGPI-1990,84.4,48,3,0.3,10.8,1.4,1.5,80,81,6.4,33,517.3,0,0.4,0,5453,4697,0.1,0.2,1.2,27,75
462,DR080,"Daun ubi putih, segar",KZGMI-2001,87.5,46,2.8,0.2,8.2,4.8,1.3,120,50,0.8,10,0,0.2,0.5,,103,,0.3,0.3,0.9,8,75
463,DR081,"Daun ubi tinta, segar",KZGMI-2001,85.1,55,1.7,0.1,11.9,7.6,1.2,120,40,0.6,10,0,0.2,0.5,,516,,0.2,0,0,7,75
464,DR082,"Eceng, segar",DABM-1964,93,19,1,0.2,3.8,1.8,2,80,45,3.7,45,634.1,,,,7,1000,0.08,0.1,0.7,50,70
465,DR083,"Gambas (oyong), segar",DABM-1964,94.5,19,0.8,0.2,4.1,1.3,0.4,19,33,0.9,23,109.1,0,0.1,,17,380,0.03,0,0.4,8,85
