KODE,NAMA BAHAN,SUMBER,ENERGI,PROTEIN,LEMAK,KH,SERAT,Cluster
DR077,"Daun tespong, segar",DABM-1964,70.0,2.9,0.3,13.9,2.3,0
DR078,"Daun ubi kuning, segar",KZGMI-2001,62.0,3.7,0.3,11.1,6.4,0
DR079,"Daun ubi merah, segar",KZGPI-1990,48.0,3.0,0.3,10.8,1.4,0
DR080,"Daun ubi putih, segar",KZGMI-2001,46.0,2.8,0.2,8.2,4.8,0
DR081,"Daun ubi tinta, segar",KZGMI-2001,55.0,1.7,0.1,11.9,7.6,0
DR083,"Gambas (oyong), segar",DABM-1964,19.0,0.8,0.2,4.1,1.3,0
DR084,"Genjer, segar",DABM-1964,35.0,1.7,0.2,7.7,2.5,0
DR085,"Jagung muda / semi, segar",DABM-1964,35.0,2.2,0.1,7.4,1.9,0
DR086,Jamur encik,KZGMI-2001,296.0,9.4,1.1,62.0,,0
DR087,"Jamur kuping, kering",DABM-1964,294.0,16.0,0.9,64.6,46.5,0
DR088,"Jamur kuping, segar",DABM-1964,21.0,3.8,0.6,0.9,5.1,0
DR089,"Jamur merang, segar",BKP,30.0,3.5,0.2,4.0,2.4,0
DR090,"Jamur tiram, segar",BKP,30.0,1.9,0.1,5.5,3.6,0
DR091,Jamur sagu,KZGMI-2001,48.0,1.9,3.2,2.8,1.0,0
DR092,"Jantung pisang, segar",DABM-1964,32.0,1.2,0.3,7.1,3.2,0
DR093,"Jengkol, segar",KZGMI-2001,192.0,5.4,0.3,40.7,1.5,0
DR094,"Jotang, segar",DABM-1964,34.0,1.9,0.3,7.1,3.5,0
DR095,"Kabau, segar",KZGMI-2001,130.0,6.7,0.3,25.2,2.9,0
DR096,"Kacang mekah, polong, segar",KZGPI-1990,22.0,1.1,1.0,3.4,1.1,0
DR097,"Kacang panjang, segar",KZGMI-2001,31.0,2.3,0.1,5.3,2.7,0
DR098,Kacang ranti polong,KZGPI-1990,37.0,3.1,0.2,7.9,2.5,0
DR099,"Kalakai, segar",KZGMI-2001,38.0,2.4,0.2,6.6,5.8,0
DR100,"Kangkung, segar",KZGPI-1990,28.0,3.4,0.7,3.9,2.0,0
DR101,Kangkung tondano,KZGMI-2001,43.0,1.8,0.2,8.4,4.3,0
DR102,"Kapri muda, segar",DABM-1964,45.0,3.3,0.2,9.0,1.8,0
DR103,Karawila,KZGMI-2001,25.0,2.3,0.2,3.5,2.1,0
DR104,"Kecipir muda, segar",DABM-1964,32.0,2.9,0.2,5.8,5.5,0
DR105,"Kecombrang, segar",KZGPI-1990,34.0,0.9,1.0,6.7,2.6,0
DR106,"Kelawi,kluwih, segar",DABM-1964,118.0,1.5,0.3,27.2,5.0,0
DR107,"Kembang turi, segar",DABM-1964,51.0,1.8,0.6,9.6,5.0,0
DR109,"Ketimun, segar",KZGPI-1990,8.0,0.2,0.2,1.4,0.3,0
DR110,"Ketimun krai, segar",KZGPI-1990,10.0,0.5,0.2,2.0,0.6,0
DR111,"Ketimun madura, segar",KZGPI-1990,9.0,0.5,0.1,1.9,0.7,0
DR113,Kool kembang,DABM-1964,25.0,2.4,0.2,4.9,1.6,0
DR114,"Kool merah,kool putih",DABM-1964,29.0,1.4,0.2,5.3,1.9,0
DR115,"Koro kerupuk, polong",DABM-1964,128.0,8.3,0.7,22.1,,0
DR116,"Koro wedus, polong",DABM-1964,46.0,3.0,0.3,7.9,3.3,0
DR117,"Kucai, segar",DABM-1964,45.0,2.2,0.3,10.3,4.8,0
DR118,"Kucai muda (Lokio), segar",DABM-1964,42.0,3.8,0.6,7.8,4.9,0
DR119,Kulit melinjo,KZGPI-1990,111.0,4.5,1.1,20.7,5.0,0
DR120,"Kundur, segar",KZGMI-2001,22.0,0.4,0.2,4.7,1.3,0
DR121,"Labu air, segar",DABM-1964,19.0,0.6,0.2,3.8,0.6,0
DR122,"Labu kuning, segar",KZGMI-2001,51.0,1.7,0.5,10.0,2.7,0
DR123,"Labu siam, segar",DABM-1964,30.0,0.6,0.1,6.7,6.2,0
DR124,"Labu waluh, segar",DABM-1964,32.0,1.1,0.1,6.6,0.5,0
DR125,"Lantar, segar",KZGMI-2001,34.0,2.2,0.3,5.5,2.9,0
DR126,"Lobak, segar",DABM-1964,21.0,0.9,0.1,4.2,2.0,0
DR127,"Lumai/Leunca, segar",KZGMI-2001,38.0,1.1,0.3,7.6,2.0,0
DR128,"Melinjo, segar",DABM-1964,66.0,5.0,0.7,13.3,,0
DR129,Mostarda metan -sawi,KZGMI-2001,33.0,2.3,0.5,4.7,1.8,0
DR130,"Nangka muda, segar",DABM-1964,57.0,2.0,0.4,11.3,8.3,0
DR131,"Paria putih, segar",KZGPI-1990,19.0,1.0,0.4,3.6,1.3,0
DR132,"Pepare ular, segar",KZGMI-2001,19.0,0.6,0.1,3.9,1.0,0
DR133,"Pepaya muda, segar",DABM-1964,29.0,2.1,0.1,4.9,2.1,0
DR134,"Petai, segar",KZGMI-2001,92.0,5.4,1.1,15.2,2.0,0
DR138,"Rebung, segar",KZGMI-2001,25.0,0.8,0.1,5.3,9.7,0
DR140,Rumput laut,KZGMI-2001,41.0,1.4,0.3,8.1,2.2,0
DR141,"Sawi, segar",DABM-1964,28.0,2.3,0.3,4.0,2.5,0
DR142,"Sawi putih / pecai, segar",KZGPI-1990,9.0,1.0,0.1,1.7,0.8,0
DR143,"Sawi taiwan, segar",KZGMI-2001,30.0,1.9,0.5,4.4,2.7,0
DR144,"Sawi tanah, segar",KZGMI-2001,19.0,1.3,0.2,2.9,2.2,0
DR145,"Selada, segar",DABM-1964,18.0,1.2,0.2,2.9,1.8,0
DR146,"Selada air, segar",KZGPI-1990,17.0,3.1,0.2,2.2,0.7,0
DR147,"Seledri, segar",DABM-1964,23.0,1.0,0.1,4.6,2.0,0
DR148,"Taoge, segar",KZGPI-1990,34.0,3.7,1.2,4.3,1.1,0
DR149,"Taoge kacang kedelai, segar",DABM-1964,76.0,9.0,2.6,6.4,0.7,0
DR150,"Taoge kacang tunggak, segar",DABM-1964,40.0,5.0,0.2,5.8,2.6,0
DR154,"Terong, segar",DABM-1964,28.0,1.1,0.2,5.5,2.1,0
DR155,"Terong asam, segar",KZGMI-2001,37.0,2.0,0.4,6.3,3.2,0
DR156,"Terung belanda, segar",KZGPI-1990,52.0,2.1,1.1,8.6,1.4,0
DR157,"Terung bengkulu,segar",KZGPI-1990,52.0,1.1,0.4,11.2,3.2,0
DR158,"Terong hintalo, segar",KZGMI-2001,45.0,1.9,0.8,7.5,5.1,0
DR159,Terung panjang,KZGPI-1990,25.0,2.1,0.1,5.3,0.5,0
DR160,"Tomat, air (sari), segar",DABM-1964,20.0,1.0,0.2,3.5,0.4,0
DR161,"Tomat merah, segar",KZGPI-1990,24.0,1.3,0.5,4.7,1.5,0
DR162,"Tomat muda, segar",DABM-1964,24.0,2.0,0.7,3.3,1.8,0
DR166,"Wortel, segar",KZGPI-1990,36.0,1.0,0.6,7.9,1.0,0
DP001,"Bayam, kukus",KZGPI-1990,30.0,1.3,0.7,5.8,1.2,0
DP002,"Bayam ,rebus",KZGPI-1990,23.0,1.2,0.6,3.7,1.1,0
DP003,"Buncis, rebus",KZGPI-1990,30.0,2.2,0.2,6.4,1.5,0
DP004,"Daun kacang panjang, kukus",KZGPI-1990,40.0,3.7,0.3,8.0,1.8,0
DP005,"Daun katuk, rebus",KZGPI-1990,53.0,5.3,0.9,9.1,1.2,0
DP006,"Daun kelor, rebus",KZGPI-1990,61.0,6.1,0.9,10.0,0.9,0
DP007,"Daun mengkudu, kukus",KZGPI-1990,63.0,3.8,1.5,11.5,2.4,0
DP008,"Daun singkong, rebus",KZGPI-1990,31.0,3.7,0.6,4.8,1.6,0
DP009,"Daun talas, rebus",KZGPI-1990,27.0,1.3,0.2,5.9,1.6,0
DP010,"Daun ubi merah, kukus",KZGPI-1990,56.0,3.1,0.3,13.0,1.5,0
DP011,"Kacang panjang,kukus",KZGPI-1990,39.0,3.0,0.6,7.6,1.7,0
DP012,"Kacang panjang, rebus",KZGPI-1990,30.0,2.3,0.4,5.8,1.4,0
DP013,"Kangkung, kukus",KZGPI-1990,30.0,3.2,0.7,4.7,1.8,0
DP014,"Kangkung, rebus",KZGPI-1990,22.0,2.5,0.6,3.1,1.2,0
DP016,"Selada, rebus",KZGPI-1990,19.0,2.7,0.2,2.9,0.7,0
DP017,"Taoge, goreng",KZGPI-1990,88.0,3.2,2.1,14.0,0.7,0
DP018,"Taoge, seduh",KZGPI-1990,28.0,3.0,0.8,4.0,1.0,0
DP019,"Terung panjang, kukus",KZGPI-1990,23.0,1.8,0.1,4.9,0.4,0
